P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.284	850.000		960.000		1000.000	3527.000	317.000		5067.000	31732.000
0.257	950.000		1120.000	1000.000	3886.000	350.000		5422.000	35065.000
0.253	1050.000	1280.000	1000.000	3945.000	348.000		5436.000	34812.000
0.233	1150.000	1440.000	1000.000	4299.000	401.000		5818.000	40118.000
0.202	1250.000	1600.000	1000.000	4947.000	450.000		6483.000	45035.000
0.193	1350.000	1760.000	1000.000	5175.000	473.000		6716.000	47311.000
0.187	1450.000	1920.000	1000.000	5339.000	493.000		6887.000	49354.000
0.173	1550.000	2080.000	1000.000	5770.000	522.000		7331.000	52202.000
0.165	1650.000	2240.000	1000.000	6044.000	551.000		7577.000	55155.000
0.154	1750.000	2400.000	1000.000	6473.000	589.000		8018.000	58955.000
0.139	1850.000	2560.000	1000.000	7217.000	643.000		8783.000	64369.000
0.130	1950.000	2720.000	1000.000	7698.000	705.000		9317.000	70512.000
0.125	2050.000	2880.000	1000.000	8027.000	730.000		9617.000	73092.000
0.122	2150.000	3040.000	1000.000	8194.000	743.000		9736.000	74315.000
0.116	2250.000	3200.000	1000.000	8589.000	780.000		10161.000	78098.000
0.111	2350.000	3360.000	1000.000	9034.000	838.000		10588.000	83879.000
0.100	2450.000	3520.000	1000.000	10023.000	930.000		11585.000	93039.000
0.093	2550.000	3680.000	1000.000	10799.000	981.000		12461.000	98174.000
0.089	2650.000	3840.000	1000.000	11262.000	1035.000	12877.000	103593.000
0.089	2750.000	4000.000	1000.000	11273.000	1039.000	12849.000	103965.000
0.081	2850.000	4160.000	1000.000	12297.000	1113.000	13856.000	111323.000
0.074	2950.000	4320.000	1000.000	13467.000	1219.000	15098.000	121998.000
0.071	3050.000	4480.000	1000.000	14115.000	1302.000	15753.000	130278.000
0.066	3150.000	4640.000	1000.000	15056.000	1382.000	16704.000	138283.000
0.065	3250.000	4800.000	1000.000	15489.000	1404.000	17205.000	140413.000
0.059	3350.000	4960.000	1000.000	16864.000	1534.000	18534.000	153410.000
0.059	3450.000	5120.000	1000.000	17073.000	1557.000	18735.000	155728.000
0.052	3550.000	5280.000	1000.000	19105.000	1748.000	20803.000	174823.000
0.054	3650.000	5440.000	1000.000	18649.000	1719.000	20322.000	171960.000
0.050	3750.000	5600.000	1000.000	20163.000	1851.000	21904.000	185182.000
0.047	3850.000	5760.000	1000.000	21073.000	1938.000	22746.000	193839.000
0.047	3950.000	5920.000	1000.000	21215.000	1954.000	22954.000	195417.000
0.043	4050.000	6080.000	1000.000	23208.000	2148.000	24974.000	214875.000
0.042	4150.000	6240.000	1000.000	24086.000	2195.000	25779.000	219526.000
0.037	4250.000	6400.000	1000.000	27175.000	2484.000	29010.000	248414.000
0.037	4350.000	6560.000	1000.000	27249.000	2484.000	29051.000	248493.000
0.035	4450.000	6720.000	1000.000	28766.000	2619.000	30530.000	261942.000
0.034	4550.000	6880.000	1000.000	29335.000	2728.000	31136.000	272840.000
0.032	4650.000	7040.000	1000.000	31037.000	2866.000	32889.000	286624.000
0.029	4750.000	7200.000	1000.000	33911.000	3122.000	35758.000	312231.000
0.028	4850.000	7360.000	1000.000	35470.000	3281.000	37412.000	328207.000
0.029	4950.000	7520.000	1000.000	34332.000	3154.000	36168.000	315472.000
0.027	5050.000	7680.000	1000.000	37105.000	3405.000	39027.000	340569.000
0.026	5150.000	7840.000	1000.000	37783.000	3470.000	39679.000	347067.000
0.024	5250.000	8000.000	1000.000	41236.000	3811.000	43154.000	381123.000
0.023	5350.000	8160.000	1000.000	43804.000	4037.000	45734.000	403773.000
0.023	5450.000	8320.000	1000.000	44398.000	4104.000	46403.000	410481.000
0.021	5550.000	8480.000	1000.000	48081.000	4433.000	50119.000	443377.000
0.020	5650.000	8640.000	1000.000	48960.000	4522.000	50969.000	452267.000
0.020	5750.000	8800.000	1000.000	50821.000	4706.000	52869.000	470675.000
0.019	5850.000	8960.000	1000.000	53724.000	4940.000	55810.000	494056.000
0.018	5950.000	9120.000	1000.000	57032.000	5245.000	59184.000	524573.000
0.018	6050.000	9280.000	1000.000	56550.000	5223.000	58668.000	522340.000
0.017	6150.000	9440.000	1000.000	57653.000	5348.000	59863.000	534866.000
0.016	6250.000	9600.000	1000.000	62428.000	5705.000	64584.000	570612.000
0.015	6350.000	9760.000	1000.000	65001.000	6008.000	67218.000	600820.000
0.016	6450.000	9920.000	1000.000	64392.000	5961.000	66646.000	596210.000
0.015	6550.000	10080.000	1000.000	68465.000	6308.000	70769.000	630862.000
0.014	6650.000	10240.000	1000.000	73577.000	6764.000	76055.000	676473.000
0.014	6750.000	10400.000	1000.000	72482.000	6713.000	74788.000	671328.000
0.014	6850.000	10560.000	1000.000	72688.000	6713.000	75024.000	671397.000
0.012	6950.000	10720.000	1000.000	84777.000	7834.000	87219.000	783437.000
0.012	7050.000	10880.000	1000.000	81402.000	7516.000	83798.000	751690.000
0.012	7150.000	11040.000	1000.000	85547.000	7883.000	88014.000	788374.000
0.012	7250.000	11200.000	1000.000	86782.000	8009.000	89161.000	800974.000
0.011	7350.000	11360.000	1000.000	89381.000	8229.000	91769.000	822927.000
0.010	7450.000	11520.000	1000.000	97716.000	8984.000	100317.000	898501.000
0.010	7550.000	11680.000	1000.000	96488.000	8929.000	99045.000	893004.000
0.010	7650.000	11840.000	1000.000	101411.000	9351.000	103979.000	935189.000
0.010	7750.000	12000.000	1000.000	101036.000	9310.000	103575.000	931093.000
0.010	7850.000	12160.000	1000.000	104892.000	9708.000	107504.000	970879.000
0.009	7950.000	12320.000	1000.000	108182.000	10002.000	110795.000	1000275.000
0.008	8050.000	12480.000	1000.000	117860.000	10834.000	120534.000	1083461.000
0.009	8150.000	12640.000	1000.000	112494.000	10375.000	115142.000	1037611.000
0.009	8250.000	12800.000	1000.000	113992.000	10533.000	116697.000	1053370.000
0.008	8350.000	12960.000	1000.000	120419.000	11055.000	123209.000	1105528.000
0.008	8450.000	13120.000	1000.000	124437.000	11508.000	127255.000	1150924.000
0.008	8550.000	13280.000	1000.000	129729.000	12005.000	132597.000	1200546.000
0.007	8650.000	13440.000	1000.000	134856.000	12429.000	137804.000	1242960.000
0.007	8750.000	13600.000	1000.000	134596.000	12362.000	137467.000	1236308.000
0.008	8850.000	13760.000	1000.000	133259.000	12266.000	136178.000	1226656.000
0.007	8950.000	13920.000	1000.000	137477.000	12634.000	140370.000	1263501.000
0.007	9050.000	14080.000	1000.000	152914.000	14036.000	155969.000	1403668.000
0.007	9150.000	14240.000	1000.000	141991.000	13114.000	144928.000	1311458.000
0.007	9250.000	14400.000	1000.000	150570.000	13839.000	153990.000	1384016.000
0.007	9350.000	14560.000	1000.000	148919.000	13799.000	153128.000	1379939.000
0.007	9450.000	14720.000	1000.000	153508.000	14169.000	157938.000	1417003.000
