P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.281	850.000		960.000		1000.000	3560.000	319.000		5149.000	31948.000
0.264	950.000		1120.000	1000.000	3786.000	347.000		5332.000	34752.000
0.242	1050.000	1280.000	1000.000	4130.000	371.000		5664.000	37114.000
0.241	1150.000	1440.000	1000.000	4156.000	387.000		5653.000	38750.000
0.212	1250.000	1600.000	1000.000	4719.000	436.000		6267.000	43696.000
0.193	1350.000	1760.000	1000.000	5182.000	471.000		6735.000	47150.000
0.192	1450.000	1920.000	1000.000	5205.000	476.000		6737.000	47694.000
0.188	1550.000	2080.000	1000.000	5315.000	499.000		6824.000	49970.000
0.156	1650.000	2240.000	1000.000	6399.000	579.000		7977.000	57972.000
0.146	1750.000	2400.000	1000.000	6856.000	617.000		8411.000	61725.000
0.142	1850.000	2560.000	1000.000	7037.000	633.000		8619.000	63394.000
0.127	1950.000	2720.000	1000.000	7885.000	731.000		9498.000	73134.000
0.130	2050.000	2880.000	1000.000	7710.000	707.000		9273.000	70716.000
0.118	2150.000	3040.000	1000.000	8508.000	795.000		10061.000	79595.000
0.112	2250.000	3200.000	1000.000	8935.000	816.000		10529.000	81697.000
0.106	2350.000	3360.000	1000.000	9454.000	860.000		11035.000	86008.000
0.099	2450.000	3520.000	1000.000	10126.000	922.000		11691.000	92251.000
0.094	2550.000	3680.000	1000.000	10660.000	972.000		12269.000	97220.000
0.083	2650.000	3840.000	1000.000	12033.000	1105.000	13714.000	110560.000
0.083	2750.000	4000.000	1000.000	12007.000	1113.000	13641.000	111306.000
0.080	2850.000	4160.000	1000.000	12519.000	1126.000	14139.000	112670.000
0.071	2950.000	4320.000	1000.000	14054.000	1317.000	15739.000	131745.000
0.066	3050.000	4480.000	1000.000	15165.000	1405.000	16821.000	140527.000
0.068	3150.000	4640.000	1000.000	14622.000	1346.000	16279.000	134683.000
0.060	3250.000	4800.000	1000.000	16562.000	1513.000	18226.000	151391.000
0.057	3350.000	4960.000	1000.000	17420.000	1620.000	19191.000	162080.000
0.055	3450.000	5120.000	1000.000	18198.000	1676.000	19969.000	167607.000
0.054	3550.000	5280.000	1000.000	18409.000	1700.000	20095.000	170103.000
0.050	3650.000	5440.000	1000.000	19873.000	1845.000	21576.000	184545.000
0.047	3750.000	5600.000	1000.000	21504.000	1981.000	23248.000	198131.000
0.048	3850.000	5760.000	1000.000	20914.000	1967.000	22683.000	196739.000
0.043	3950.000	5920.000	1000.000	23496.000	2173.000	25276.000	217376.000
0.040	4050.000	6080.000	1000.000	25174.000	2307.000	26955.000	230784.000
0.038	4150.000	6240.000	1000.000	26468.000	2452.000	28268.000	245283.000
0.037	4250.000	6400.000	1000.000	27326.000	2505.000	29141.000	250592.000
0.033	4350.000	6560.000	1000.000	29994.000	2756.000	31868.000	275698.000
0.033	4450.000	6720.000	1000.000	30408.000	2824.000	32257.000	282486.000
0.033	4550.000	6880.000	1000.000	30055.000	2772.000	31904.000	277237.000
0.030	4650.000	7040.000	1000.000	33132.000	3056.000	35001.000	305651.000
0.029	4750.000	7200.000	1000.000	34674.000	3208.000	36538.000	320897.000
