P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2
0.275	850.000		960.000		1000.000	3642.000	329.000		5249.000	32930.000
0.269	950.000		1120.000	1000.000	3717.000	336.000		5229.000	33643.000
0.258	1050.000	1280.000	1000.000	3873.000	350.000		5406.000	35086.000
0.245	1150.000	1440.000	1000.000	4083.000	382.000		5637.000	38239.000
0.213	1250.000	1600.000	1000.000	4684.000	417.000		6247.000	41800.000
0.207	1350.000	1760.000	1000.000	4830.000	434.000		6322.000	43475.000
0.190	1450.000	1920.000	1000.000	5260.000	476.000		6811.000	47649.000
0.184	1550.000	2080.000	1000.000	5429.000	498.000		6960.000	49884.000
0.173	1650.000	2240.000	1000.000	5780.000	521.000		7323.000	52114.000
0.166	1750.000	2400.000	1000.000	6024.000	548.000		7593.000	54815.000
0.163	1850.000	2560.000	1000.000	6144.000	552.000		7684.000	55273.000
0.152	1950.000	2720.000	1000.000	6569.000	578.000		8090.000	57861.000
0.140	2050.000	2880.000	1000.000	7130.000	635.000		8679.000	63534.000
0.137	2150.000	3040.000	1000.000	7301.000	669.000		8808.000	66966.000
0.129	2250.000	3200.000	1000.000	7757.000	707.000		9344.000	70722.000
0.124	2350.000	3360.000	1000.000	8080.000	734.000		9663.000	73495.000
0.113	2450.000	3520.000	1000.000	8867.000	796.000		10473.000	79613.000
0.106	2550.000	3680.000	1000.000	9476.000	860.000		11095.000	86075.000
0.105	2650.000	3840.000	1000.000	9541.000	872.000		11127.000	87272.000
0.102	2750.000	4000.000	1000.000	9775.000	894.000		11370.000	89450.000
0.093	2850.000	4160.000	1000.000	10699.000	967.000		12329.000	96791.000
0.088	2950.000	4320.000	1000.000	11310.000	1041.000	12946.000	104126.000
0.083	3050.000	4480.000	1000.000	12053.000	1088.000	13687.000	108866.000
0.081	3150.000	4640.000	1000.000	12398.000	1123.000	14058.000	112349.000
0.076	3250.000	4800.000	1000.000	13080.000	1198.000	14738.000	119889.000
0.077	3350.000	4960.000	1000.000	13015.000	1181.000	14614.000	118150.000
0.068	3450.000	5120.000	1000.000	14602.000	1336.000	16269.000	133647.000
0.069	3550.000	5280.000	1000.000	14531.000	1338.000	16179.000	133830.000
0.065	3650.000	5440.000	1000.000	15420.000	1404.000	17016.000	140428.000
0.063	3750.000	5600.000	1000.000	15932.000	1448.000	17578.000	144849.000
0.063	3850.000	5760.000	1000.000	15969.000	1450.000	17588.000	145075.000
0.055	3950.000	5920.000	1000.000	18323.000	1653.000	20063.000	165367.000
0.053	4050.000	6080.000	1000.000	18707.000	1679.000	20392.000	167952.000
0.054	4150.000	6240.000	1000.000	18677.000	1682.000	20330.000	168299.000
0.048	4250.000	6400.000	1000.000	20658.000	1886.000	22413.000	188704.000
0.049	4350.000	6560.000	1000.000	20560.000	1863.000	22288.000	186340.000
0.046	4450.000	6720.000	1000.000	21975.000	1991.000	23716.000	199152.000
0.043	4550.000	6880.000	1000.000	23141.000	2093.000	24915.000	209310.000
0.042	4650.000	7040.000	1000.000	23983.000	2167.000	25726.000	216720.000
0.038	4750.000	7200.000	1000.000	26467.000	2423.000	28300.000	242358.000
0.040	4850.000	7360.000	1000.000	24975.000	2274.000	26710.000	227468.000
0.037	4950.000	7520.000	1000.000	27208.000	2478.000	29016.000	247813.000
0.035	5050.000	7680.000	1000.000	28358.000	2561.000	30210.000	256170.000
0.036	5150.000	7840.000	1000.000	27944.000	2555.000	29728.000	255530.000
0.032	5250.000	8000.000	1000.000	31148.000	2838.000	32980.000	283843.000
0.030	5350.000	8160.000	1000.000	33084.000	3025.000	34960.000	302582.000
0.032	5450.000	8320.000	1000.000	31577.000	2892.000	33409.000	289221.000
0.028	5550.000	8480.000	1000.000	35443.000	3228.000	37297.000	322880.000
0.026	5650.000	8640.000	1000.000	38206.000	3490.000	40140.000	349093.000
0.026	5750.000	8800.000	1000.000	37913.000	3471.000	39821.000	347112.000
0.025	5850.000	8960.000	1000.000	40305.000	3681.000	42182.000	368157.000
0.025	5950.000	9120.000	1000.000	39326.000	3592.000	41156.000	359230.000
0.023	6050.000	9280.000	1000.000	43877.000	4009.000	45831.000	400958.000
0.022	6150.000	9440.000	1000.000	44632.000	4066.000	46609.000	406642.000
0.023	6250.000	9600.000	1000.000	43952.000	4025.000	45898.000	402529.000
0.021	6350.000	9760.000	1000.000	46834.000	4297.000	48828.000	429791.000
0.020	6450.000	9920.000	1000.000	49245.000	4497.000	51309.000	449805.000
0.020	6550.000	10080.000	1000.000	51135.000	4692.000	53174.000	469273.000
0.018	6650.000	10240.000	1000.000	54633.000	4994.000	56742.000	499486.000
0.018	6750.000	10400.000	1000.000	54287.000	4950.000	56339.000	495101.000
0.018	6850.000	10560.000	1000.000	56962.000	5193.000	59033.000	519400.000
0.017	6950.000	10720.000	1000.000	58622.000	5310.000	60699.000	531083.000
0.017	7050.000	10880.000	1000.000	58875.000	5359.000	61021.000	536006.000
0.015	7150.000	11040.000	1000.000	66098.000	6047.000	68337.000	604715.000
0.015	7250.000	11200.000	1000.000	66022.000	6037.000	68164.000	603727.000
0.015	7350.000	11360.000	1000.000	64981.000	5957.000	67182.000	595751.000
0.014	7450.000	11520.000	1000.000	70274.000	6398.000	72489.000	639882.000
0.014	7550.000	11680.000	1000.000	72249.000	6564.000	74500.000	656494.000
0.013	7650.000	11840.000	1000.000	77761.000	7076.000	80082.000	707626.000
0.013	7750.000	12000.000	1000.000	76025.000	6992.000	78317.000	699239.000
0.013	7850.000	12160.000	1000.000	79138.000	7213.000	81490.000	721320.000
0.012	7950.000	12320.000	1000.000	81315.000	7403.000	83633.000	740385.000
0.011	8050.000	12480.000	1000.000	87039.000	7934.000	89497.000	793444.000
0.012	8150.000	12640.000	1000.000	83152.000	7591.000	85543.000	759156.000
0.012	8250.000	12800.000	1000.000	86463.000	7875.000	88798.000	787610.000
0.012	8350.000	12960.000	1000.000	85921.000	7848.000	88251.000	784859.000
0.011	8450.000	13120.000	1000.000	88506.000	8097.000	90920.000	809744.000
0.010	8550.000	13280.000	1000.000	95427.000	8656.000	97879.000	865670.000
0.011	8650.000	13440.000	1000.000	94361.000	8566.000	96847.000	856656.000
0.010	8750.000	13600.000	1000.000	103681.000	9439.000	106256.000	943961.000
0.009	8850.000	13760.000	1000.000	105537.000	9586.000	108081.000	958676.000
0.009	8950.000	13920.000	1000.000	112235.000	10176.000	114928.000	1017699.000
0.009	9050.000	14080.000	1000.000	106760.000	9630.000	109323.000	963067.000
0.009	9150.000	14240.000	1000.000	111677.000	10147.000	114300.000	1014785.000
0.008	9250.000	14400.000	1000.000	119887.000	10869.000	122993.000	1087006.000
0.009	9350.000	14560.000	1000.000	112859.000	10322.000	116607.000	1032319.000
0.009	9450.000	14720.000	1000.000	113706.000	10379.000	117585.000	1037931.000
