P	T(ns)		T(точки)	n		N		Exposition(ms)	Ch1		Ch2		SS
0.276	850.000		960.000		1000.000	3623.000	319.000		5229.000	31945.000	1606.000
0.259	950.000		1120.000	1000.000	3861.000	345.000		5406.000	34504.000	1545.000
0.259	1050.000	1280.000	1000.000	3860.000	347.000		5394.000	34729.000	1534.000
0.222	1150.000	1440.000	1000.000	4495.000	395.000		6029.000	39519.000	1534.000
0.223	1250.000	1600.000	1000.000	4489.000	405.000		6027.000	40521.000	1538.000
0.205	1350.000	1760.000	1000.000	4886.000	439.000		6452.000	43930.000	1566.000
0.197	1450.000	1920.000	1000.000	5065.000	461.000		6558.000	46153.000	1493.000
0.174	1550.000	2080.000	1000.000	5759.000	514.000		7320.000	51495.000	1561.000
0.170	1650.000	2240.000	1000.000	5888.000	533.000		7416.000	53359.000	1528.000
0.163	1750.000	2400.000	1000.000	6146.000	544.000		7722.000	54486.000	1576.000
0.147	1850.000	2560.000	1000.000	6824.000	607.000		8365.000	60766.000	1541.000
0.146	1950.000	2720.000	1000.000	6864.000	610.000		8380.000	61089.000	1516.000
0.144	2050.000	2880.000	1000.000	6953.000	627.000		8486.000	62789.000	1533.000
0.125	2150.000	3040.000	1000.000	7998.000	728.000		9583.000	72828.000	1585.000
0.130	2250.000	3200.000	1000.000	7679.000	677.000		9182.000	67759.000	1503.000
0.114	2350.000	3360.000	1000.000	8795.000	783.000		10377.000	78321.000	1582.000
0.111	2450.000	3520.000	1000.000	9036.000	813.000		10677.000	81342.000	1641.000
0.097	2550.000	3680.000	1000.000	10337.000	943.000		11937.000	94371.000	1600.000
0.098	2650.000	3840.000	1000.000	10159.000	929.000		11757.000	92941.000	1598.000
0.086	2750.000	4000.000	1000.000	11579.000	1034.000	13219.000	103430.000	1640.000
0.087	2850.000	4160.000	1000.000	11483.000	1027.000	13059.000	102753.000	1576.000
0.078	2950.000	4320.000	1000.000	12849.000	1157.000	14484.000	115718.000	1635.000
0.074	3050.000	4480.000	1000.000	13604.000	1220.000	15257.000	122074.000	1653.000
0.074	3150.000	4640.000	1000.000	13453.000	1232.000	15091.000	123205.000	1638.000
0.071	3250.000	4800.000	1000.000	14153.000	1257.000	15797.000	125751.000	1644.000
0.064	3350.000	4960.000	1000.000	15632.000	1408.000	17360.000	140834.000	1728.000
0.065	3450.000	5120.000	1000.000	15457.000	1387.000	17038.000	138744.000	1581.000
0.058	3550.000	5280.000	1000.000	17387.000	1573.000	19103.000	157393.000	1716.000
