P			T(ns)		T(точки)	n	N		Exposition(ms)	Ch1		Ch2		SS	Temp
0.2086428663195363	850.000		480.000		100.000	452.000		102.000		611.000		5136.000	159.000	0.230
0.18392512595411145	950.000		560.000		100.000	518.000		122.000		669.000		6107.000	151.000	0.230
0.18132276903619388	1050.000	640.000		100.000	522.000		121.000		679.000		6084.000	157.000	0.230
0.12747293722989894	1150.000	720.000		100.000	739.000		177.000		903.000		8897.000	164.000	0.230
0.1383923032200199	1250.000	800.000		100.000	683.000		145.000		836.000		7291.000	153.000	0.230
0.12962327968111265	1350.000	880.000		100.000	734.000		168.000		885.000		8442.000	151.000	0.230
0.14239378386084972	1450.000	960.000		100.000	672.000		153.000		817.000		7686.000	145.000	0.230
0.09857333242208857	1550.000	1040.000	100.000	944.000		217.000		1117.000	10864.000	173.000	0.230
0.0902987134689845	1650.000	1120.000	100.000	1040.000	232.000		1202.000	11629.000	162.000	0.230
0.08067494576190659	1750.000	1200.000	100.000	1158.000	255.000		1324.000	12776.000	166.000	0.230
0.07367997945323018	1850.000	1280.000	100.000	1268.000	299.000		1439.000	14963.000	171.000	0.230
0.07188291650225657	1950.000	1360.000	100.000	1315.000	300.000		1472.000	15008.000	157.000	0.230
0.0815805655088932	2050.000	1440.000	100.000	1165.000	272.000		1318.000	13617.000	153.000	0.230
0.06166537354523839	2150.000	1520.000	100.000	1525.000	357.000		1689.000	17900.000	164.000	0.230
0.06103588586955521	2250.000	1600.000	100.000	1539.000	355.000		1703.000	17777.000	164.000	0.230
0.05271586749670974	2350.000	1680.000	100.000	1789.000	425.000		1951.000	21278.000	162.000	0.230
0.062454165617085236	2450.000	1760.000	100.000	1524.000	359.000		1676.000	17966.000	152.000	0.230
0.050402539207066825	2550.000	1840.000	100.000	1856.000	434.000		2025.000	21702.000	169.000	0.230
0.04575752262475189	2650.000	1920.000	100.000	2023.000	459.000		2200.000	22981.000	177.000	0.230
0.04251689675382402	2750.000	2000.000	100.000	2206.000	513.000		2372.000	25660.000	166.000	0.230
0.04814302673855903	2850.000	2080.000	100.000	1967.000	447.000		2122.000	22369.000	155.000	0.230
0.03796554074125685	2950.000	2160.000	100.000	2463.000	565.000		2631.000	28266.000	168.000	0.230
0.036543152546148226	3050.000	2240.000	100.000	2569.000	605.000		2735.000	30271.000	166.000	0.230
0.029273255828982395	3150.000	2320.000	100.000	3116.000	707.000		3307.000	35395.000	191.000	0.230
0.03149888146607399	3250.000	2400.000	100.000	2993.000	687.000		3153.000	34367.000	160.000	0.230
0.029194932287386437	3350.000	2480.000	100.000	3164.000	743.000		3346.000	37180.000	182.000	0.230
0.027743864946469108	3450.000	2560.000	100.000	3321.000	759.000		3503.000	37956.000	182.000	0.230
0.028862841716392258	3550.000	2640.000	100.000	3189.000	737.000		3373.000	36857.000	184.000	0.230
0.024322736721346695	3650.000	2720.000	100.000	3786.000	869.000		3969.000	43492.000	183.000	0.230
0.024646954144852167	3750.000	2800.000	100.000	3771.000	877.000		3946.000	43852.000	175.000	0.230
0.024424751377095457	3850.000	2880.000	100.000	3801.000	893.000		3978.000	44669.000	177.000	0.230
0.017812125656101976	3950.000	2960.000	100.000	5120.000	1195.000	5314.000	59799.000	194.000	0.230
0.019813080025660023	4050.000	3040.000	100.000	4618.000	1059.000	4807.000	52953.000	189.000	0.230
0.016647242001725675	4150.000	3120.000	100.000	5534.000	1263.000	5716.000	63164.000	182.000	0.230
0.01617269515028969	4250.000	3200.000	100.000	5606.000	1289.000	5804.000	64453.000	198.000	0.230
0.016136324182640046	4350.000	3280.000	100.000	5621.000	1285.000	5818.000	64263.000	197.000	0.230
