P			T(ns)		T(точки)	n	N		Exposition(ms)	Ch1		Ch2		SS	Temp
0.1765369504106519	850.000		480.000		100.000	526.000		120.000		701.000		6050.000	175.000	0.230
0.19021565973815668	950.000		560.000		100.000	502.000		119.000		651.000		5954.000	149.000	0.230
0.1530297506126961	1050.000	640.000		100.000	616.000		145.000		778.000		7277.000	162.000	0.229
0.16043843242813166	1150.000	720.000		100.000	596.000		131.000		740.000		6585.000	144.000	0.229
0.1589943650658927	1250.000	800.000		100.000	596.000		141.000		753.000		7080.000	157.000	0.229
0.1190787512044468	1350.000	880.000		100.000	779.000		179.000		955.000		8959.000	176.000	0.229
0.12699184316164672	1450.000	960.000		100.000	753.000		173.000		899.000		8670.000	146.000	0.229
0.10846231045459535	1550.000	1040.000	100.000	870.000		193.000		1027.000	9666.000	157.000	0.229
0.08892530886575692	1650.000	1120.000	100.000	1043.000	242.000		1220.000	12119.000	177.000	0.229
0.07705026046188107	1750.000	1200.000	100.000	1201.000	271.000		1378.000	13593.000	177.000	0.229
0.07176889378903087	1850.000	1280.000	100.000	1291.000	289.000		1466.000	14471.000	175.000	0.229
0.07714801119084004	1950.000	1360.000	100.000	1212.000	277.000		1380.000	13898.000	168.000	0.229
0.08002032294028166	2050.000	1440.000	100.000	1193.000	271.000		1340.000	13555.000	147.000	0.229
0.06442751147345038	2150.000	1520.000	100.000	1435.000	325.000		1613.000	16267.000	178.000	0.229
0.07856326219766607	2250.000	1600.000	100.000	1214.000	271.000		1361.000	13553.000	147.000	0.229
0.06850753143056022	2350.000	1680.000	100.000	1367.000	315.000		1534.000	15790.000	167.000	0.229
0.05286587305145353	2450.000	1760.000	100.000	1786.000	406.000		1944.000	20345.000	158.000	0.229
0.05625677522139044	2550.000	1840.000	100.000	1690.000	404.000		1844.000	20216.000	154.000	0.229
0.04664580104126573	2650.000	1920.000	100.000	2001.000	460.000		2171.000	23027.000	170.000	0.229
0.04626358811583815	2750.000	2000.000	100.000	2040.000	454.000		2197.000	22722.000	157.000	0.229
0.039230260457962955	2850.000	2080.000	100.000	2396.000	550.000		2559.000	27536.000	163.000	0.229
0.03355095368649062	2950.000	2160.000	100.000	2726.000	629.000		2916.000	31454.000	190.000	0.229
