P	T(ns)		T(точки)	n	N		Exposition(ms)	Ch1		Ch2		SS	Temp
0.328	850.000		480.000		100.000	305.000		48.000		466.000		2439.000	161.000	0.220
0.385	950.000		560.000		100.000	260.000		42.000		406.000		2126.000	146.000	0.220
0.309	1050.000	640.000		100.000	324.000		54.000		465.000		2702.000	141.000	0.221
0.289	1150.000	720.000		100.000	346.000		55.000		490.000		2778.000	144.000	0.221
0.310	1250.000	800.000		100.000	323.000		53.000		455.000		2676.000	132.000	0.221
0.300	1350.000	880.000		100.000	333.000		156.000		458.000		7824.000	125.000	0.221
0.249	1450.000	960.000		100.000	402.000		62.000		545.000		3139.000	143.000	0.221
0.270	1550.000	1040.000	100.000	370.000		60.000		508.000		3003.000	138.000	0.221
0.244	1650.000	1120.000	100.000	409.000		68.000		548.000		3434.000	139.000	0.221
0.210	1750.000	1200.000	100.000	476.000		82.000		633.000		4109.000	157.000	0.221
0.254	1850.000	1280.000	100.000	394.000		63.000		529.000		3177.000	135.000	0.221
0.203	1950.000	1360.000	100.000	493.000		80.000		635.000		4035.000	142.000	0.221
0.175	2050.000	1440.000	100.000	572.000		91.000		723.000		4575.000	151.000	0.221
0.188	2150.000	1520.000	100.000	531.000		245.000		665.000		12284.000	134.000	0.221
0.172	2250.000	1600.000	100.000	580.000		98.000		725.000		4942.000	145.000	0.221
0.185	2350.000	1680.000	100.000	541.000		86.000		686.000		4305.000	145.000	0.221
0.163	2450.000	1760.000	100.000	615.000		103.000		758.000		5164.000	143.000	0.221
0.184	2550.000	1840.000	100.000	544.000		88.000		670.000		4447.000	126.000	0.221
0.180	2650.000	1920.000	100.000	556.000		96.000		701.000		4823.000	145.000	0.221
0.150	2750.000	2000.000	100.000	668.000		108.000		819.000		5419.000	151.000	0.221
0.161	2850.000	2080.000	100.000	622.000		107.000		769.000		5397.000	147.000	0.221
0.169	2950.000	2160.000	100.000	590.000		101.000		727.000		5082.000	136.000	0.221
0.151	3050.000	2240.000	100.000	663.000		104.000		805.000		5232.000	142.000	0.221
0.098	3150.000	2320.000	100.000	1019.000	169.000		1170.000	8456.000	151.000	0.221
0.129	3250.000	2400.000	100.000	774.000		134.000		922.000		6746.000	148.000	0.221
0.105	3350.000	2480.000	100.000	955.000		161.000		1131.000	8087.000	176.000	0.221
0.126	3450.000	2560.000	100.000	792.000		134.000		924.000		6724.000	132.000	0.221
0.118	3550.000	2640.000	100.000	851.000		141.000		996.000		7097.000	145.000	0.221
0.115	3650.000	2720.000	100.000	873.000		145.000		1020.000	7285.000	147.000	0.221
0.090	3750.000	2800.000	100.000	1110.000	185.000		1261.000	9265.000	151.000	0.221
0.101	3850.000	2880.000	100.000	993.000		171.000		1143.000	8592.000	150.000	0.221
0.097	3950.000	2960.000	100.000	1035.000	170.000		1172.000	8520.000	137.000	0.221
0.076	4050.000	3040.000	100.000	1318.000	215.000		1485.000	10779.000	167.000	0.221
0.090	4150.000	3120.000	100.000	1113.000	190.000		1265.000	9507.000	152.000	0.221
0.087	4250.000	3200.000	100.000	1143.000	199.000		1293.000	9967.000	150.000	0.221
0.074	4350.000	3280.000	100.000	1346.000	219.000		1500.000	10959.000	154.000	0.221
0.089	4450.000	3360.000	100.000	1118.000	188.000		1258.000	9414.000	140.000	0.221
0.075	4550.000	3440.000	100.000	1338.000	229.000		1498.000	11455.000	160.000	0.221
0.068	4650.000	3520.000	100.000	1476.000	247.000		1641.000	12378.000	165.000	0.221
0.075	4750.000	3600.000	100.000	1331.000	211.000		1486.000	10589.000	155.000	0.221
0.073	4850.000	3680.000	100.000	1368.000	226.000		1527.000	11325.000	159.000	0.221
0.065	4950.000	3760.000	100.000	1533.000	245.000		1681.000	12294.000	148.000	0.221
0.077	5050.000	3840.000	100.000	1303.000	220.000		1450.000	11046.000	147.000	0.221
0.052	5150.000	3920.000	100.000	1911.000	322.000		2070.000	16101.000	159.000	0.221
0.065	5250.000	4000.000	100.000	1529.000	257.000		1686.000	12870.000	157.000	0.221
0.063	5350.000	4080.000	100.000	1590.000	266.000		1752.000	13332.000	153.000	0.221
0.053	5450.000	4160.000	100.000	1883.000	327.000		2030.000	16356.000	147.000	0.221
0.057	5550.000	4240.000	100.000	1751.000	287.000		1900.000	14358.000	149.000	0.221
0.051	5650.000	4320.000	100.000	1945.000	323.000		2113.000	16177.000	168.000	0.221
0.052	5750.000	4400.000	100.000	1940.000	319.000		2104.000	15981.000	164.000	0.221
0.044	5850.000	4480.000	100.000	2295.000	378.000		2459.000	18917.000	164.000	0.221
0.050	5950.000	4560.000	100.000	2019.000	336.000		2181.000	16822.000	162.000	0.221
0.054	6050.000	4640.000	100.000	1848.000	310.000		2003.000	15514.000	155.000	0.221
0.051	6150.000	4720.000	100.000	1975.000	329.000		2130.000	16464.000	155.000	0.221
0.047	6250.000	4800.000	100.000	2120.000	369.000		2290.000	18489.000	167.000	0.221
0.045	6350.000	4880.000	100.000	2236.000	371.000		2395.000	18565.000	159.000	0.221
0.036	6450.000	4960.000	100.000	2763.000	468.000		2932.000	23426.000	169.000	0.221
0.044	6550.000	5040.000	100.000	2290.000	381.000		2456.000	19095.000	166.000	0.221
0.039	6650.000	5120.000	100.000	2550.000	426.000		2711.000	21326.000	161.000	0.221
0.038	6750.000	5200.000	100.000	2666.000	456.000		2836.000	22828.000	170.000	0.221
0.036	6850.000	5280.000	100.000	2783.000	466.000		2945.000	23311.000	162.000	0.221
0.041	6950.000	5360.000	100.000	2455.000	415.000		2622.000	20783.000	166.000	0.221
0.034	7050.000	5440.000	100.000	2918.000	492.000		3078.000	24616.000	160.000	0.221
0.035	7150.000	5520.000	100.000	2878.000	477.000		3045.000	23894.000	167.000	0.221
0.036	7250.000	5600.000	100.000	2769.000	459.000		2940.000	22976.000	171.000	0.221
0.032	7350.000	5680.000	100.000	3140.000	522.000		3308.000	26108.000	168.000	0.221
0.032	7450.000	5760.000	100.000	3077.000	509.000		3245.000	25494.000	168.000	0.221
0.028	7550.000	5840.000	100.000	3538.000	593.000		3706.000	29700.000	168.000	0.221
0.025	7650.000	5920.000	100.000	3953.000	643.000		4135.000	32153.000	182.000	0.221
0.030	7750.000	6000.000	100.000	3303.000	547.000		3467.000	27363.000	164.000	0.221
0.029	7850.000	6080.000	100.000	3441.000	557.000		3601.000	27881.000	160.000	0.221
0.027	7950.000	6160.000	100.000	3660.000	600.000		3837.000	30049.000	177.000	0.221
0.028	8050.000	6240.000	100.000	3588.000	1661.000	3745.000	83097.000	157.000	0.221
0.024	8150.000	6320.000	100.000	4250.000	689.000		4435.000	34460.000	185.000	0.221
0.025	8250.000	6400.000	100.000	3954.000	645.000		4138.000	32260.000	184.000	0.221
0.026	8350.000	6480.000	100.000	3849.000	617.000		4024.000	30858.000	175.000	0.221
0.026	8450.000	6560.000	100.000	3914.000	652.000		4091.000	32616.000	177.000	0.221
0.021	8550.000	6640.000	100.000	4808.000	798.000		4991.000	39922.000	183.000	0.221
0.021	8650.000	6720.000	100.000	4769.000	793.000		4961.000	39654.000	192.000	0.221
0.024	8750.000	6800.000	100.000	4254.000	719.000		4430.000	35959.000	176.000	0.221
0.022	8850.000	6880.000	100.000	4562.000	2129.000	4758.000	106453.000	196.000	0.221
0.023	8950.000	6960.000	100.000	4276.000	708.000		4441.000	35446.000	165.000	0.221
0.024	9050.000	7040.000	100.000	4210.000	699.000		4378.000	34973.000	168.000	0.221
0.019	9150.000	7120.000	100.000	5168.000	854.000		5339.000	42741.000	171.000	0.221
0.022	9250.000	7200.000	100.000	4525.000	756.000		4685.000	37823.000	160.000	0.221
0.016	9350.000	7280.000	100.000	6348.000	1063.000	6547.000	53191.000	199.000	0.221
0.020	9450.000	7360.000	100.000	5081.000	861.000		5259.000	43083.000	178.000	0.221
0.015	9550.000	7440.000	100.000	6572.000	1108.000	6760.000	55430.000	188.000	0.221
0.018	9650.000	7520.000	100.000	5431.000	888.000		5624.000	44422.000	193.000	0.221
0.017	9750.000	7600.000	100.000	5805.000	969.000		5991.000	48454.000	186.000	0.221
0.016	9850.000	7680.000	100.000	6099.000	1024.000	6293.000	51224.000	194.000	0.221
0.017	9950.000	7760.000	100.000	5982.000	1005.000	6143.000	50293.000	161.000	0.221
0.016	10050.000	7840.000	100.000	6062.000	1019.000	6222.000	50974.000	160.000	0.221
0.016	10150.000	7920.000	100.000	6423.000	1095.000	6603.000	54779.000	180.000	0.221
